DTDPDEHYRHAMREDUCT__45__RXN	['DTDPDEHYRHAMREDUCT__45__RXN']
PANTOTHENATE__45__KIN__45__RXN	['PANTOTHENATE__45__KIN__45__RXN']
RXN__45__13443__45__CPD__45__14423__47__NADPH__47__PROTON__47____47__CPD__45__14424__47__NADP__46__39__46__	['RXN__45__13443__45__CPD__45__14423__47__NADPH__47__PROTON__47____47__CPD__45__14424__47__NADP__46__39__46__']
COBALADENOSYLTRANS__45__RXN	['COBALADENOSYLTRANS__45__RXN']
RXN__45__12625	['RXN__45__12625']
LEUCINE__45____45__TRNA__45__LIGASE__45__RXN	['LEUCINE__45____45__TRNA__45__LIGASE__45__RXN']
RXN__45__17920	['RXN__45__17920']
RXN0__45__1134	['RXN0__45__1134']
_3__45__OXOACYL__45__ACP__45__REDUCT__45__RXN__45__R__45__3__45__hydroxybehenoyl__45__ACPs__47__NADP__47____47__3__45__oxo__45__behenoyl__45__ACPs__47__NADPH__47__PROTON__46__64__46__	['_3__45__OXOACYL__45__ACP__45__REDUCT__45__RXN__45__R__45__3__45__hydroxybehenoyl__45__ACPs__47__NADP__47____47__3__45__oxo__45__behenoyl__45__ACPs__47__NADPH__47__PROTON__46__64__46__', 'RXN1G__45__469__45__R__45__3__45__hydroxybehenoyl__45__ACPs__47__NADP__47____47__3__45__oxo__45__behenoyl__45__ACPs__47__NADPH__47__PROTON__46__64__46__', 'RXN1G__45__157__45__R__45__3__45__hydroxybehenoyl__45__ACPs__47__NADP__47____47__3__45__oxo__45__behenoyl__45__ACPs__47__NADPH__47__PROTON__46__64__46__']
RXN0__45__1132	['RXN0__45__1132']
MALIC__45__NADP__45__RXN	['MALIC__45__NADP__45__RXN']
RXN__45__13158	['RXN__45__13158']
ENZRXN__45__201__45__RXN	['ENZRXN__45__201__45__RXN']
MYO__45__INOSITOL__45__1OR__45__4__45__MONOPHOSPHATASE__45__RXN	['MYO__45__INOSITOL__45__1OR__45__4__45__MONOPHOSPHATASE__45__RXN']
RXN0__45__1241	[]
RXN0__45__7139	['RXN0__45__7139']
ADENYLATECYC__45__RXN	['ADENYLATECYC__45__RXN']
RXN__45__14124	['RXN__45__14124']
ACETOLACTSYN__45__RXN	['ACETOLACTSYN__45__RXN']
HISTCYCLOHYD__45__RXN	['HISTCYCLOHYD__45__RXN']
RXN0__45__2142	['RXN0__45__2142']
SPONTPRO__45__RXN	['SPONTPRO__45__RXN']
RXN__45__16424__45__Phosphorylated__45__Phosphoglucosamine__45__Mutase__47__CPD__45__13469__47____47__CPD0__45__1096__47__Phosphoglucosamine__45__Mutase__46__88__46__	['RXN__45__16424__45__Phosphorylated__45__Phosphoglucosamine__45__Mutase__47__CPD__45__13469__47____47__CPD0__45__1096__47__Phosphoglucosamine__45__Mutase__46__88__46__']
RXN__45__15122	['RXN__45__15122']
RXN__45__15123	['RXN__45__15123']
IMP__45__DEHYDROG__45__RXN	['IMP__45__DEHYDROG__45__RXN']
CDPDIGLYSYN__45__RXN	['CDPDIGLYSYN__45__RXN']
VINYLACETYL__45__COA__45__DELTA__45__ISOMERASE__45__RXN	[]
PEPSYNTH__45__RXN	['PEPSYNTH__45__RXN']
RXN__45__12705	[]
GSADENYLATION__45__RXN	['GSADENYLATION__45__RXN']
_3__45__OCTAPRENYL__45__4__45__OHBENZOATE__45__DECARBOX__45__RXN	[]
TYROSINE__45__AMINOTRANSFERASE__45__RXN	[]
RXN__45__16320	['RXN__45__16320']
SUCCINATE__45__DEHYDROGENASE__45__UBIQUINONE__45__RXN	['SUCCINATE__45__DEHYDROGENASE__45__UBIQUINONE__45__RXN']
NAD__45__SYNTH__45__NH3__45__RXN	['NAD__45__SYNTH__45__NH3__45__RXN']
RXN__45__2901	[]
RXN__45__11737	['RXN__45__11737']
PRODISULFREDUCT__45__A__45__RXN	['PRODISULFREDUCT__45__A__45__RXN']
NICOTINATEPRIBOSYLTRANS__45__RXN	['NICOTINATEPRIBOSYLTRANS__45__RXN']
RXN__45__16067	['RXN__45__16067']
_4__46__1__46__99__46__4__45__RXN	[]
_2__46__1__46__1__46__100__45__RXN	['_2__46__1__46__1__46__100__45__RXN']
RXN__45__13313	['RXN__45__13313']
HISTOLDEHYD__45__RXN	['HISTOLDEHYD__45__RXN']
RXN__45__14803	['RXN__45__14803']
RXN__45__19040	['RXN__45__19040']
PHOSMANMUT__45__RXN	['PHOSMANMUT__45__RXN']
RXN__45__14014__45__DELTA1__45__PIPERIDEINE__45__2__45__6__45__DICARBOXYLATE__47__NAD__47__WATER__47____47__CPD__45__14443__47__NADH__47__PROTON__46__70__46__	['RXN__45__14014__45__DELTA1__45__PIPERIDEINE__45__2__45__6__45__DICARBOXYLATE__47__NAD__47__WATER__47____47__CPD__45__14443__47__NADH__47__PROTON__46__70__46__']
ACETYLORNTRANSAM__45__RXN	['ACETYLORNTRANSAM__45__RXN']
AMINOACYLASE__45__RXN	[]
PHOSPHONOACETALDEHYDE__45__HYDROLASE__45__RXN	['PHOSPHONOACETALDEHYDE__45__HYDROLASE__45__RXN']
RIBONUCLEOSIDE__45__DIP__45__REDUCTI__45__RXN__45__CPD0__45__2231__47__Ox__45__Thioredoxin__47__WATER__47____47__IDP__47__Red__45__Thioredoxin__46__52__46__	['RIBONUCLEOSIDE__45__DIP__45__REDUCTI__45__RXN__45__CPD0__45__2231__47__Ox__45__Thioredoxin__47__WATER__47____47__IDP__47__Red__45__Thioredoxin__46__52__46__']
ACYLCOADEHYDROG__45__RXN__45__HEXANOYL__45__COA__47__ETF__45__Oxidized__47__PROTON__47____47__CPD0__45__2121__47__ETF__45__Reduced__46__56__46__	[]
RXN__45__1961	[]
_1__46__2__46__7__46__7__45__RXN	['_1__46__2__46__7__46__7__45__RXN']
RXN__45__11481	[]
THI__45__P__45__KIN__45__RXN	['THI__45__P__45__KIN__45__RXN']
RXN__45__16564	['RXN__45__16564']
_325__45__BISPHOSPHATE__45__NUCLEOTIDASE__45__RXN	['_325__45__BISPHOSPHATE__45__NUCLEOTIDASE__45__RXN']
RXN__45__14063	['RXN__45__14063']
RXN__45__14793	['RXN__45__14793']
PYRUVATEORTHOPHOSPHATE__45__DIKINASE__45__RXN	['PYRUVATEORTHOPHOSPHATE__45__DIKINASE__45__RXN']
RXN__45__16998__45__ALPHA__45__GLUCOSE__45__16__45__BISPHOSPHATE__47__Phosphoglucomutase__47____47__GLC__45__6__45__P__47__Phosphorylated__45__phosphoglucomutase__46__92__46__	['RXN__45__16998__45__ALPHA__45__GLUCOSE__45__16__45__BISPHOSPHATE__47__Phosphoglucomutase__47____47__GLC__45__6__45__P__47__Phosphorylated__45__phosphoglucomutase__46__92__46__']
RXN__45__14799	['RXN__45__14799']
RXN__45__14147	[]
RXN__45__14261__45__MALTOHEXAOSE__47__GLC__47____47__MALTOPENTAOSE__47__MALTOSE__46__40__46__	['RXN__45__14261__45__MALTOHEXAOSE__47__GLC__47____47__MALTOPENTAOSE__47__MALTOSE__46__40__46__']
RXN__45__18232	['RXN__45__18232']
O__45__SUCCHOMOSERLYASE__45__RXN	['O__45__SUCCHOMOSERLYASE__45__RXN']
GLUCOKIN__45__RXN__45__ALPHA__45__GLUCOSE__47__ATP__47____47__GLC__45__6__45__P__47__ADP__47__PROTON__46__38__46__	[]
_3__45__DEHYDROQUINATE__45__DEHYDRATASE__45__RXN	['_3__45__DEHYDROQUINATE__45__DEHYDRATASE__45__RXN']
TRANSALDOL__45__RXN	['TRANSALDOL__45__RXN']
TRANS__45__RXN__45__167A__45__Hpr__45__pi__45__phospho__45__L__45__histidines__47__GLUCOSAMINE__47____47__CPD__45__13469__47__Hpr__45__Histidine__46__65__46__	[]
CYTOCHROME__45__C__45__PEROXIDASE__45__RXN__45__HYDROGEN__45__PEROXIDE__47__Cytochromes__45__c3__45__Reduced__47__PROTON__47____47__Cytochromes__45__c3__45__Oxidized__47__WATER__46__79__46__	[]
PYRUVFORMLY__45__RXN	['PYRUVFORMLY__45__RXN']
DIOHBUTANONEPSYN__45__RXN	['DIOHBUTANONEPSYN__45__RXN']
RXN__45__9556	['RXN__45__9556']
_5__46__4__46__1__46__2__45__RXN	[]
RXN__45__9557	['RXN__45__9557']
CYTOCHROME__45__C__45__PEROXIDASE__45__RXN__45__HYDROGEN__45__PEROXIDE__47__Reduced__45__cytochromes__45__c553__47__PROTON__47____47__Oxidized__45__cytochromes__45__c553__47__WATER__46__83__46__	[]
RXN1G__45__2544	[]
RXN__45__10083	['RXN__45__10083']
ACETYL__45__COA__45__HYDROLASE__45__RXN	['ACETYL__45__COA__45__HYDROLASE__45__RXN']
RXN__45__9231	[]
THI__45__P__45__SYN__45__RXN	['THI__45__P__45__SYN__45__RXN']
